Sample_id,Site,Plot,Treatment,Year,Transect,Date_collected,SOM_crucible_g,SOM_crucible_and_sample_g,SOM_crucible_post_105_g,Moisture_correction,dry_to_wet_ratio,NMin_sample_g,dry_NMin_sample_g,NO3_Sample_ID,NO3_ABS_1,NO3_ABS_2,NO3_ABS_3,NO3_ppm1_stcurv1,NO3_ppm2_stcurv1,NO3_ppm3_stcurv1,NO3_ppm_avg_stcurv1,NO3_ppm1_stcurv2,NO3_ppm2_stcurv2,NO3_ppm3_stcurv2,NO3_ppm_avg_stcurv2,NO3_ppm1_stcurv3,NO3_ppm2_stcurv3,NO3_ppm3_stcurv3,NO3_ppm_avg_stcurv3,NO3_plate#,mg_NO3_per_g_stcurv1,mg_NO3_per_g_stcurv2,mg_NO3_per_g_stcurv3,,NH4_Sample_ID,NH4_ABS_1,NH4_ABS_2,NH4_ABS_3,NH4_ppm1_stcurv1,NH4_ppm2_stcurv1,NH4_ppm3_stcurv1,NH4_ppm_avg_stcurv1,NH4_ppm1_stcurv2,NH4_ppm2_stcurv2,NH4_ppm3_stcurv2,NH4_ppm_avg_stcurv2,NH4_ppm1_stcurv3,NH4_ppm2_stcurv3,NH4_ppm3_stcurv3,NH4_ppm_avg_stcurv3,NH4_plate#,mg_NH4_per_g_stcurv1,mg_NH4_per_g_stcurv2,mg_NH4_per_g_stcurv3
1A,DC,1,FASP,2022,A,7/6/22,14.715,24.48,24.319,1.016763848,0.983512545,10.04,9.87446595,2022-1-A,0.398,0.355,0.395,2.76623137,1.500827658,2.67794739,2.315002139,3.193182975,1.732471614,3.09127288,2.672309157,3.608226786,1.957654958,3.493070612,3.019650785,plate6_20240209,0.011722164,0.013531411,0.015290198,,2022-1-A,0.364,0.35,0.348,0.15456988,0.107786504,0.101103165,0.121153183,0.234912704,0.19306139,0.18708263,0.205018908,0.246101119,0.206064927,0.20034547,0.217503839,plate8_20240131,0.000613467,0.001038127,0.001101345
1B,DC,1,FASP,2022,B,7/6/22,16.066,25.843,25.656,1.019499479,0.980873479,10,9.808734786,2022-1-B,0.548,0.461,0.476,6.950832911,4.907851616,5.260089771,5.706258099,7.220292435,5.098111888,5.464005086,5.927469803,7.062986874,4.987041407,5.34496304,5.79833044,plate7_20240212,0.029087636,0.030215262,0.029556974,,2022-1-B,0.423,0.417,0.413,0.318818883,0.299694611,0.286945097,0.30181953,0.385760981,0.368778089,0.357456161,0.370665077,0.394852286,0.379310693,0.368949632,0.381037537,plate7_20240130,0.001538524,0.001889464,0.001942338
1C,DC,1,FASP,2022,C,7/6/22,15.462,24.92,24.709,1.022818211,0.977690844,10.01,9.786685346,2022-1-C,0.384,0.422,0.412,2.354239464,3.472503209,3.178223276,3.001655316,2.717602532,4.008463735,3.668763418,3.464943228,3.070831307,4.529476178,4.145622264,3.915309916,plate6_20240209,0.015335403,0.017702333,0.020003248,,2022-1-C,0.318,0.308,0.309,0,0,0,0,0.088560372,0.060255552,0.063086034,0.070633986,0.122874411,0.096971756,0.099562021,0.106469396,plate7_20240130,0,0.000360868,0.00054395
2A,DC,2,FASP,2022,A,7/12/22,16.912,26.619,26.398,1.023297491,0.977232925,10.01,9.782101576,2022-2-A,0.696,0.613,0.589,11.53577337,9.093249929,8.38697809,9.672000464,13.31625241,10.49673978,9.68145902,11.16481707,15.0470734,11.86108592,10.93983653,12.61599862,plate6_20240209,0.049437232,0.057067579,0.064485114,,2022-2-A,0.432,0.425,0.427,0.381803422,0.358411734,0.365095073,0.368436743,0.438190516,0.417264859,0.423243618,0.426232998,0.440562623,0.420544527,0.426263983,0.429123711,plate8_20240131,0.001883219,0.002178637,0.002193413
2B,DC,2,FASP,2022,B,7/12/22,15.931,25.55,25.356,1.020583554,0.979831583,10.03,9.827710781,2022-2-B,0.334,0.303,0.272,0.882839799,0,0,0.294279933,1.01910095,0,0,0.339700317,1.15156174,0,0,0.383853913,plate6_20240209,0.001497195,0.001728278,0.001952916,,2022-2-B,0.454,0.444,0.442,0.455320156,0.421903459,0.415220119,0.430814578,0.503956867,0.474063071,0.468084312,0.48203475,0.50347664,0.47487936,0.469159903,0.482505301,plate8_20240131,0.002191836,0.002452426,0.00245482
2B,DC,2,FASP,2022,B,7/12/22,15.931,25.55,25.356,1.020583554,0.979831583,10.03,9.827710781,2022-2-B REDO NO3,0.301,0.276,0.271,5.59383012,4.719794164,4.544986973,4.952870419,6.27473426,5.294307032,5.098221586,5.555754293,6.23170227,5.25799879,5.063258094,5.517653051,plate9_20240227,0.025198495,0.02826576,0.028071914,,2022-2-B,0.454,0.444,0.442,0.455320156,0.421903459,0.415220119,0.430814578,0.503956867,0.474063071,0.468084312,0.48203475,0.50347664,0.47487936,0.469159903,0.482505301,plate8_20240131,0.002191836,0.002452426,0.00245482
2C,DC,2,FASP,2022,C,7/12/22,14.627,24.165,23.945,1.023610217,0.976934368,10.03,9.798651709,2022-2-C,0.198,0.206,0.194,2.095781586,2.309364423,1.988990168,2.131378726,2.019575238,2.225391823,1.916666946,2.053878003,2.045884771,2.254382583,1.941635866,2.080634407,plate2_20240207,0.010875878,0.010480411,0.010616942,,2022-2-C,0.266,0.272,0.272,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
3A,DC,3,FASP,2022,A,7/13/22,16.913,26.281,26.103,1.019368879,0.980999146,10.02,9.829611443,2022-3-A,0.439,0.362,0.337,9.699992714,6.741975134,5.781579816,7.407849221,10.09132099,7.013967659,6.014826967,7.706705205,10.17133402,7.069580679,6.062517904,7.767810869,plate8_20240227,0.037681292,0.039201474,0.039512299,,2022-3-A,0.421,0.419,0.412,0.321125219,0.314751458,0.292443296,0.309439991,0.370676528,0.364833088,0.34438105,0.359963555,0.382313369,0.377026352,0.358521793,0.372620505,plate6_20240130,0.001574019,0.001831016,0.001895398
3B,DC,3,FASP,2022,B,7/13/22,14.497,24.772,24.57,1.020053609,0.980340633,10.02,9.823013139,2022-3-B,0.329,0.316,0.309,3.653732602,3.289759239,3.093773583,3.345755141,3.525015839,3.173864836,2.984783527,3.227888068,3.491759071,3.143921003,2.956623581,3.197434552,plate3_20240207,0.017030188,0.016430234,0.016275223,,2022-3-B,0.42,0.428,0.444,0.515556205,0.546298111,0.607781922,0.556545412,0.546537468,0.574904908,0.631639787,0.584360721,0.542964681,0.569443122,0.622400005,0.578269269,plate5_20240129,0.002832865,0.002974447,0.002943441
3C,DC,3,FASP,2022,C,7/13/22,15.496,26.385,26.173,1.019855765,0.980530811,10.09,9.893555882,2022-3-C,0.332,0.441,0.383,0.823983812,4.031635082,2.324811471,2.393476788,0.951160886,4.653894336,2.6836325,2.762895908,1.074790957,5.258798613,3.032445916,3.122011829,plate6_20240209,0.01209614,0.013963109,0.015778007,,2022-3-C,0.4,0.41,0.407,0.245509176,0.277382962,0.267820826,0.263570988,0.320659895,0.348964715,0.340473269,0.336699293,0.33527618,0.361178835,0.353408039,0.349954351,plate7_20240130,0.001332034,0.001701609,0.001768597
4A,DC,4,FASP,2022,A,,14.632,23.991,23.749,1.026543819,0.974142537,10.01,9.751166791,2022-4-A,0.304,0.265,0.258,2.953783828,1.86186374,1.665878083,2.16050855,2.849725449,1.796272439,1.60719113,2.084396339,2.822839709,1.779325504,1.592028082,2.064731098,plate3_20240207,0.011078205,0.010687933,0.010587098,,2022-4-A,0.391,0.427,0.387,0.404116797,0.542455372,0.388745845,0.445106005,0.443705499,0.571358978,0.429521779,0.481528752,0.44698033,0.566133317,0.433741109,0.482284919,plate5_20240129,0.002282322,0.002469083,0.00247296
