number,sampleID,site,plot,treatment,year,transect,field_moist_weight_g,conversion_factor,dry_weight_effective_g,sampleID_full,PlateID_NH4,ABS 1_NH4,ABS 2_NH4,ABS 3_NH4,ppm 1_curve1_NH4,ppm 2_curve1_NH4,ppm 3_curve1_NH4,average_ppm_NH4,R2_curve1,ug_g_NH4,,PlateID_NO3,ABS 1_NO3,ABS 2_NO3,ABS 3_NO3,ppm 1_curve2_NO3,ppm 2_curve2_NO3,ppm 3_curve2_NO3,average_ppm_NO3,R2_curve2_NO3,ug_g_NO3
1,1A,DC,1,FASP,2024,A,10.01,0.98124698,9.82228227,2024-01-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.065,0.071,0.064,0.296554404,0.574407572,0.250245542,0.373735839,0.996,0.00190249,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.18,0.178,0.182,0.800282,0.781181611,0.819382388,0.800282,0.9963,0.004073809
2,1B,DC,1,FASP,2024,B,10,0.98203934,9.8203934,2024-01-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.074,0.064,0.07,0.713334156,0.250245542,0.528098711,0.497226136,0.996,0.0025316,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.273,0.273,0.274,1.688450066,1.688450066,1.69800026,1.691633464,0.9963,0.00861286
3,1C,DC,1,FASP,2024,C,10.03,0.97871282,9.816489585,2024-01-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.087,0.086,0.089,1.315349354,1.269040492,1.407967076,1.330785641,0.996,0.006778317,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.404,0.398,0.414,2.939525513,2.882224348,3.035027456,2.952259106,0.9963,0.015037245
4,2A,DC,2,FASP,2024,A,10.02,0.97891963,9.808774693,2024-02-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.069,0.068,0.067,0.481789849,0.435480988,0.389172126,0.435480988,0.996,0.002219854,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.181,0.167,0.17,0.809832194,0.676129474,0.704780057,0.730247242,0.9963,0.003722418
5,2B,DC,2,FASP,2024,B,10.03,0.97836876,9.813038663,2024-02-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.075,0.076,0.083,0.759643017,0.805951879,1.130113908,0.898569601,0.996,0.004578447,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.178,0.177,0.179,0.781181611,0.771631417,0.790731805,0.781181611,0.9963,0.003980325
6,2C,DC,2,FASP,2024,C,9.98,0.9729834,9.710374332,2024-02-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.077,0.08,0.078,0.85226074,0.991187324,0.898569601,0.914005889,0.996,0.004706337,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.292,0.282,0.292,1.869903756,1.774401814,1.869903756,1.838069776,0.9963,0.009464464
7,3A,DC,3,FASP,2024,A,10.03,0.97845387,9.813892316,2024-03-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.097,0.095,0.096,1.778437967,1.685820245,1.732129106,1.732129106,0.996,0.008824883,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.218,0.228,0.223,1.163189381,1.258691324,1.210940353,1.210940353,0.9963,0.006169521
8,3B,DC,3,FASP,2024,B,10.01,0.98057974,9.815603197,2024-03-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.072,0.071,0.072,0.620716433,0.574407572,0.620716433,0.605280146,0.996,0.003083255,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.204,0.211,0.21,1.029486662,1.096338022,1.086787827,1.070870837,0.9963,0.005454942
9,3C,DC,3,FASP,2024,C,10.01,0.98133284,9.823141728,2024-03-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.065,0.063,0.079,0.296554404,0.203936681,0.944878463,0.481789849,0.996,0.002452321,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.2,0.203,0.207,0.991285885,1.019936467,1.058137244,1.023119866,0.9963,0.005207702
10,4A,DC,4,FASP,2024,A,10.03,0.97906553,9.820027266,2024-04-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.064,0.064,0.064,0.250245542,0.250245542,0.250245542,0.250245542,0.996,0.001274159,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.166,0.174,0.17,0.66657928,0.742980834,0.704780057,0.704780057,0.9963,0.003588483
11,4B,DC,4,FASP,2024,B,9.95,0.97482656,9.699524272,2024-04-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.072,0.076,0.076,0.620716433,0.805951879,0.805951879,0.74420673,0.996,0.003836305,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.181,0.178,0.181,0.809832194,0.781181611,0.809832194,0.800282,0.9963,0.004125367
12,4C,DC,4,FASP,2024,C,10.03,0.97344689,9.763672307,2024-04-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.074,0.071,0.076,0.713334156,0.574407572,0.805951879,0.697897869,0.996,0.003573952,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.261,0.264,0.26,1.573847734,1.602498317,1.56429754,1.580214531,0.9963,0.008092317
13,5A,DC,5,SP,2024,A,9.97,0.97857704,9.756413089,2024-05-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.073,0.068,0.067,0.667025295,0.435480988,0.389172126,0.497226136,0.996,0.002548202,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.266,0.27,0.258,1.621598706,1.659799483,1.545197152,1.608865113,0.9963,0.008245167
14,5B,DC,5,SP,2024,B,10.04,0.97795307,9.818648823,2024-05-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.068,0.064,0.075,0.435480988,0.250245542,0.759643017,0.481789849,0.996,0.002453443,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.354,0.345,0.349,2.4620158,2.376064052,2.414264829,2.417448227,0.9963,0.012310493
15,5C,DC,5,SP,2024,C,10.01,0.97880139,9.797801914,2024-05-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.067,0.07,0.082,0.389172126,0.528098711,1.083805047,0.667025295,0.996,0.003403954,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.298,0.295,0.282,1.927204922,1.898554339,1.774401814,1.866720358,0.9963,0.00952622
