"","location_id","Site","Plot","Trt","Year","Date","Name","species","count","prop_150","perc_150","species_name","functional_group","duration","native_status"
"1","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","BRTE",92,0.613,61.333,"Bromus tectorum","cheatgrass","annual","introduced"
"2","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","L",36,0.24,24,"litter","litter","",""
"3","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","CHDO",24,0.16,16,"Chaenactis douglasii","forb","perennial","native"
"4","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","BG",21,0.14,14,"bare ground","bare ground","",""
"5","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","PSSP",9,0.06,6,"Pseudoroegneria spicata","grass","perennial","native"
"6","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","PUTR",5,0.033,3.333,"Purshia tridentata","shrub","perennial","native"
"7","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","MEOB",3,0.02,2,"Mertensia oblongifolia","forb","perennial","native"
"8","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","COPA",2,0.013,1.333,"Collinsia parviflora","forb","annual","native"
"9","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","SIAL",2,0.013,1.333,"Sisymbrium altissimum","forb","annual","introduced"
"10","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","TRDU",2,0.013,1.333,"Tragopogon dubius","forb","annual","introduced"
"11","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","ALDE",1,0.007,0.667,"Alyssum desertorum","forb","annual","introduced"
"12","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","CRAC",1,0.007,0.667,"Crepis acuminata","forb","perennial","native"
"13","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","EPBR",1,0.007,0.667,"Epilobium brachycarpum ","forb","annual","native"
"14","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","ERNA",1,0.007,0.667,"Ericameria nauseosa","shrub","perennial","native"
"15","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","Eriogonum",1,0.007,0.667,"Eriogonum spp","forb","perennial","native"
"16","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","HEUN",1,0.007,0.667,"Helianthella uniflora","forb","perennial","native"
"17","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","LASE",1,0.007,0.667,"Lactuca serriola","forb","annual","introduced"
"18","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","LECI",1,0.007,0.667,"Leymus cinereus","grass","perennial","native"
"19","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","PHHA",1,0.007,0.667,"Phacelia hastata","forb","perennial","native"
"20","DC_1_FASP","DC",1,"FASP",2022,"7/6/2022","Maddi Sorrentino, April Hulet, Kelly Hopping","SCAN",1,0.007,0.667,"Scuttelaria angustifolia ","forb","annual","native"
"21","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","L",122,0.813,81.333,"litter","litter","",""
"22","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","BRTE",91,0.607,60.667,"Bromus tectorum","cheatgrass","annual","introduced"
"23","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","PSSP",20,0.133,13.333,"Pseudoroegneria spicata","grass","perennial","native"
"24","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","LECI",17,0.113,11.333,"Leymus cinereus","grass","perennial","native"
"25","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","CAMI",10,0.067,6.667,"Camelina microcarpa","forb","annual","introduced"
"26","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","BG",9,0.06,6,"bare ground","bare ground","",""
"27","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","Lupinus",7,0.047,4.667,"Lupinus spp","forb","perennial","native"
"28","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","SIAL",6,0.04,4,"Sisymbrium altissimum","forb","annual","introduced"
"29","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","EPBR",5,0.033,3.333,"Epilobium brachycarpum ","forb","annual","native"
"30","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","MARE",5,0.033,3.333,"Mahonia repens","shrub","perennial","native"
"31","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","PUTR",5,0.033,3.333,"Purshia tridentata","shrub","perennial","native"
"32","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","PHHA",4,0.027,2.667,"Phacelia hastata","forb","perennial","native"
"33","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","COPA",3,0.02,2,"Collinsia parviflora","forb","annual","native"
"34","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","SYRO",3,0.02,2,"Symphoricarpos rotundifolius","shrub","perennial","native"
"35","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","BASA",2,0.013,1.333,"Balsamorhiza sagittata","forb","perennial","native"
"36","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","GARA",2,0.013,1.333,"Gayophytum racemosum","forb","annual","native"
"37","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","POSE",2,0.013,1.333,"Poa secunda","grass","perennial","native"
"38","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","PRVI",2,0.013,1.333,"Prunus virginiana","shrub","perennial","native"
"39","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","W",2,0.013,1.333,"wood","wood","",""
"40","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","ARTR",1,0.007,0.667,"Artemisia tridentata vaseyana","shrub","perennial","native"
"41","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","CAGE",1,0.007,0.667,"Carex geyeri ","sedge","perennial","native"
"42","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","DEPI",1,0.007,0.667,"Descurainia pinnata","forb","annual","native"
"43","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","DESO",1,0.007,0.667,"Descurainia sophia ","forb","annual","introduced"
"44","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","GAAP",1,0.007,0.667,"Galium aparine ","forb","annual","native"
"45","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","LALO",1,0.007,0.667,"Lappula longispina","forb","annual","native"
"46","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","MAGR",1,0.007,0.667,"Madia gracilis","forb","annual","native"
"47","DC_2_FASP","DC",2,"FASP",2022,"7/12/2022","April Hulet","TRDU",1,0.007,0.667,"Tragopogon dubius","forb","annual","introduced"
"48","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","BRTE",118,0.787,78.667,"Bromus tectorum","cheatgrass","annual","introduced"
"49","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","L",106,0.707,70.667,"litter","litter","",""
"50","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","POSE",27,0.18,18,"Poa secunda","grass","perennial","native"
"51","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","SIAL",20,0.133,13.333,"Sisymbrium altissimum","forb","annual","introduced"
"52","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","MAGR",9,0.06,6,"Madia gracilis","forb","annual","native"
"53","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","CAMI",5,0.033,3.333,"Camelina microcarpa","forb","annual","introduced"
"54","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","ILRI",3,0.02,2,"Iliamna rivularis","forb","perennial","native"
"55","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","PUTR",3,0.02,2,"Purshia tridentata","shrub","perennial","native"
"56","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","AGGL",2,0.013,1.333,"Agoseris glauca","forb","perennial","native"
