,location_id,Site,Plot,Trt,Year,Date,Name,species,count,prop_150,perc_150,species_name,functional_group,duration,native_status
1,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",BG,55,0.367,36.667,bare ground,bare ground,,
2,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",L,40,0.267,26.667,litter,litter,,
3,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",BRTE,36,0.24,24,Bromus tectorum,cheatgrass,annual,introduced
4,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",CHDO,9,0.06,6,Chaenactis douglasii,forb,perennial,native
5,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",COPA,9,0.06,6,Collinsia parviflora,forb,annual,native
6,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",PHHA,9,0.06,6,Phacelia hastata,forb,perennial,native
7,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",CAMI,5,0.033,3.333,Camelina microcarpa,forb,annual,introduced
8,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",PSSP,5,0.033,3.333,Pseudoroegneria spicata,grass,perennial,native
9,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",MEAL,4,0.027,2.667,Mentzelia albicaulis ,forb,annual,native
10,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",MEBU,4,0.027,2.667,Melica bulbosa,grass,perennial,native
11,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",PUTR,4,0.027,2.667,Purshia tridentata,shrub,perennial,native
12,DC_1_FASP,DC,1,FASP,2023,7/5/2023,"Kerry Byrne, Kelly Hopping, Kloe Walter, Briana Swette",LASE,3,0.02,2,Lactuca serriola,forb,annual,introduced
